KEY,Korean,English,Myanmar,Thailand,India
M_FACEBOOK_SHARE_SUCCESS,포스팅에 성공했습니다.,FACEBOOK_SHARE_SUCCESS,ပို့စ် တင်ပြီးပါပြီ,การแชร์สำเร็จแล้วค่ะ,
M_FACEBOOK_SHARE_FAILED,포스팅에 실패했습니다.,FACEBOOK_SHARE_FAILED,ပို့စ် တင်ခြင်းမအောင်မြင်ပါ,การแชร์ล้มเหลว,
IAP_START_PENDING_PUR,결제 완료 후 대기중 입니다.,Validating purchase.,ငွေပေးချေမှုကို စောင့်နေပါတယ်,กำลังรอการชำระเงิน,
IAP_SUCCESS_PURCHASE,구매 성공했습니다.,Purchase Succeed,ငွေပေးချေပြီးပါပြီ,การชำระเงินสำเร็จ,
IAP_FAILED_PURCHASE,구매에 오류가 발생했습니다.,Your purchase could not be completed,ငွေပေးချေလို့မရပါ,เกิดข้อผิดพลาดในการชำระเงิน,
IAP_SUCCESS_CONFIRM_RECEIPT,구매하신 영수증을 확인 할 수 있습니다.,You can see your purchase history.,ဘောင်ချာ စစ်နိုင်ပါတယ်,สามารถตรวจสอบใบเสร็จการชำระเงินได้,
IAP_FAILED_CONFIRM_RECEIPT,구매하신 영수증을 확인 할 수 없습니다.,Failed to verify your purchase receipt,ဘောင်ချာ စစ်လို့မရပါ,ไม่สามารถตรวจสอบใบเสร็จารชำระเงินได้,
IAP_START_CONFIRM_FOR_ONSMART,MingPlay 서버에서 영수증을 확인 하였습니다.,Validating your purchase.,MingPlay မှာ ဘောင်ချာ စစ်ပြီးပါပြီ,ตรวจสอบใบเสร็จการชำระเงินด้วยเซิฟเวอร์ Len89 แล้ว,
IAP_ALREADY_CONFIRM_RECEIPT,구매에 대한 영수증 확인이 성공적으로 완료 되었습니다.,Your purchase receipt has been successfully completed.,ဘောင်ချာစစ်ပြီးပါပြီ,ตรวจสอบใบเสร็็จการชำระเงินเรียบร้อยแล้ว,
IAP_START_INAPP,결제 연결...,Connecting...,Connecting...,กำลังเชื่อมต่อ...,
IAP_ERROR_TITLE,,,,,
SILVER_BUYGOLD_RESULT_0,골드 구입을 성공 하였습니다.,Gold Purchased.,Gold ဝယ်ပြီးပါပြီ,,
SILVER_BUYGOLD_RESULT_1,골드 구입을 실패 하였습니다.,Gold purchase failed.,Gold ဝယ်မရပါ,,
SILVER_BUYGOLD_RESULT_2,골드 구입을 실패 하였습니다.,Gold purchase failed.,Gold ဝယ်မရပါ,,
SILVER_BUYGOLD_RESULT_3,골드 구입을 실패 하였습니다.,Gold purchase failed.,Gold ဝယ်မရပါ,,
SILVER_BUYGOLD_RESULT_4,유저 정보를 찾을 수 없습니다.,User information not found.,ပလေယာ ရှာမရပါ,,
M_FIND_PASS_ERROR_EMAIL,이메일이 일치하지 않습니다. 다시 확인해주세요.,The e-mail is invalid. Please check again,E-mail ကိုက်ညီမှုမရှိပါ။ နောက်တကြိမ်ပြန်စစ်ဆေးပေးပါ။,อีเมล์ไม่ถูกต้อง กรุณาตรวจสอบอีเมล์ของคุณค่ะ,
M_VERSION_ERR_OPEN_DOWNLOAD,새로운 버젼이 있습니다. 확인 버튼을 누르면 다운로드 페이지로 이동합니다.,There is a new version. Press the OK button to go to the download page.,Version အသစ် ရှိပါတယ်။ OK ကို နှိပ်ပြီး ဒေါင်းလော့ စာမျက်နှာဆီသို့ သွားပါ,เวอร์ชั่นล่าสุดพร้อมอัพเดท กรุณาคลิกที่ปุ่มตกลง เพื่อไปยังหน้าดาวน์โหลดค่ะ,
ASSET_CANCELED_DOWNLOAD,다운로드가 취소되었습니다.,Download is cancelled.,Download လုပ်ခြင်း ဖျက်သိမ်းပါတယ်,ยกเลิกการดาวน์โหลดแล้วค่ะ,
ASSET_FAILED_DOWNLOAD,다운로드에 실패하였습니다. 다시 시도하세요.,Download failed. Please try again.,Download လို့မရပါ။ နောက်တစ်ကြိမ်ပြန်ဝင်ပါ,ดาวน์โหลดล้มเหลว กรุณาลองใหม่อีกครั้งค่ะ,
M_MAINIMAGE,사진 다운로드 중...,Upload your profile picture,ဓါတ်ပုံ Download လုပ်နေပါတယ်...,,
M_MAINSAVEMONEY,지금 적립금을 구매할 수 있습니다,You can purchase Gold with special price here!,အထူးစျေးနှုန်းနဲ့ စုငွေ ကိုဒီနေရာမှာ ၀ယ်လို့ရနိင်ပါတယ်,,
M_MAINSAFEALLOW,금고를 사용할 수 있습니다,Safebox feature is available.,မီးခံသေတ္တာ အသုံးပြုလို့ ရပါတယ်,,
M_MAINSAFELEVEL,금고는 @레벨부터 사용할 수 있습니다,You can use the safebox feature from level @level,"""@level"" ကနေ မီးခံသေတ္တာကို အသုံးပြုနိုင်ပါတယ်။",,
M_MAINSAFEMONEY,@money Gold가 보관 되었습니다,Saving @money Gold in safebox.,@money Gold တွေ ထည့်ပြီးပါပြီ,,
M_MAINOPTION,알림 및 이벤트를 볼 수 있습니다,You can see events and notices.,Events နဲ့ အသိပေးခြင်းကို ကြည်နိင်ပါတယ်,,
M_MAINQEUST,퀘스트 보상을 확인 하세요,Please check your mission reward,သင့်ရဲ့ ဆုလာဘ်ပုံး ဘောနပ်များကို စစ်ပါ။,,
M_FACEBOOKINVITE,친구를 더 초대할 수 있도록 페이스북 계정으로 로그인하세요!,You must be logged in with Facebook account to invite friends.,နောက်ထပ်သူငယ်ချင်းဖိတ်‌ခေါ် လို့ရအောင်facebookအကောင့်ဖြင့်၀င်ပါ,,
M_SAVEMONEYBEFORESALE,상점가,Shop Price,စတိုးဆိုင်စျေး,ราคาในร้านค้า,
M_SAVEMONEYAFTERSALE,@bonus X gold,@bonus x Gold,Gold x @bonus,ได้มากขึ้น @bonus เท่า!!,
M_BLOCKFRIEND,블럭된 유저입니다. 친구를 할 수 있도록 @닉네임을 블럭 해제 하시겠습니까?,This friend is blocked. Are you sure you want to add this friend by unblocking @nickname?,ဘလော့ထားတဲ့ ပလေယာ ဖြစ်ပါတယ်။ @nickname ကို ဘလော့ဖြည်မှာလား?,คุณต้องการจะยกเลิกบล็อกคุณ @nickname ใช่ไหมคะ,
M_BLOCKSENDMESSAGE,블럭된 유저입니다. 메시지를 배낼 수 있도록 @닉네임을 블럭 해제 하시겠습니까?,This friend is blocked. Are you sure you want to unblock @nickname and send a message?,ဘလော့ထားတဲ့ပလေယာ ဖြစ်ပါတယ်။ @nickname ကို ဘလော့ဖြည်ပြီး မက်ဆေ့ပို့မှာလား?,คุณต้องการจะยกเลิกบล็อกคุณ @nickname ใช่ไหมคะ,
M_SAFEPWERROR,비밀번호가 안 맞습니다. 다시 확인해 주세요!,The password is incorrect. Please check again.,လျှိုဝှက်နံပါတ် မှားနေပါတယ်။ နောက်တစ်ကြိမ်ပြန်စစ်ပါ။,รหัสผ่านไม่ถูกต้อง กรุณาตรวจสอบอีกครั้งค่ะ,
DM_FREE_BEST,프리,Street,အခမဲ့,เทพห้องฟรี,
FB_INVITE_SUCCESS,같이 게임 할 친구 초대를 성공하였습니다.,Friend invitation succeeded.,ဂိမ်းအတူတူဆော့မယ့် သူငယ်ချင်းကို ဖိတ်ခေါ်ပြီးပါပြီ။,ชวนเพื่อนสำเร็จแล้วค่ะ,
FB_INVITE_CANCEL,초대를 취소하였습니다.,Cancel invitation,ဖိတ်ခေါ်တာ ဖျက်သိမ်းပါတယ်,,
USER_RECORD,게임 기록,Game Record,Game Record,,
USER_HIGHGOLD,최고 획득 골드,Highest Earning Gold,အမြင့်ဆုံး Gold,,
OPTION_PRIVACY,개인정보 보호정책,Privacy Policy,ကိုယ်‌‌‌‌‌ရေးအချက်လက် မူ၀ါဒ,นโยบายความเป็นส่วนตัว,
OPTION_NOTICE,즉시 보기,View Now,ချက်ချင်း ကြည့်ရန်,รายละเอียด,
MESSAGE_DELETE,전부 삭제,Delete all,အားလုံးဖျက်မယ်,,
SETNICK_SOUND,음성,Voice,အသံ,,
MINIGAME_EMPTY_BETLIST,베팅 리스트가 없습니다,No records available.,ဂိမ်းမှတ်တမ်းများမရှိပါ။,ไม่พบประวัติค่ะ,
MINIGAME_EMPTY_BETHISTORY,현재 베팅 기록 리스트가 없습니다,There are no recent betting records.,လောင်းကြေးမှတ်တမ်းများမရှိပါ။,ไม่มีประวัติการเดิมพันล่าสุด,
MINIGAME_SNAIL_TIMER_2,베팅이 곧 종료됩니다.,Betting will be closed soon.,မကြာခင် လောင်းကြေးပိတ်ပါတော့မယ်။,ใกล้หมดเวลาเดิมพันแล้วนะครับ,
MINIGAME_DICE_LOW,낮음,low,Low,ต่ำ,
MINIGAME_DICE_HIGH,높음,High,High,สูง,
MINIGAME_BIGBET_CHECK,@money 골드를 베팅하시겠습니까?,Do you want to bet @money gold??,@money Gold လောင်းကြေးထည့်မှာလား?,ต้องการเดิมพัน @money ใช่ไหมคะ?,
MINIGAME_BET,베팅,Bet,လောင်းကြေး,แทง,
MINIGAME_GOLD_LOW,베팅할 골드가 부족합니다,There is not enough gold.,Gold အလုံအလောက်မရှိပါ,โกลด์ที่มีอยู่ไม่เพียงพอ ไม่สามารถวางเดิมพันได้ค่ะ,
MINIGAME_BETING_WAIT,배팅 기다리는 중,Betting Pending,လောင်းရန် စောင့်နေဆဲ,รอการเดิมพัน,
T_UNLOCK,잠금 해제,Unlock,Unlock,,
T_CREATE,만들기,Create,Create,,
OPTION_BTN_CS,문의하기,Contact Now,ဆက်သွယ်ရန်,,
OPTION_BTN_FAN,방문하기,Visit Now,လည်ရန်,,
SIGNUP_PW,비밀번호,Password,ပက်စ်၀က် ,,
OPTION_BTN_PRIVACY,EULA 읽기,Read EULA,Read EULA,,
GIFT_3DAY,선물함의 골드는 3일 동안만 보관될 것입니다.,Gold in this Gift Box will only be kept for 3 days.,လက်ဆောင်သေတ္တာထဲတွင် Gold များကို ၃ ရက်သာထားလို့ရပါမယ်,,
FINDPW_PW,현재\n비밀번호,Current\nPassword,လက်ရှိ\nလျှိုဝှက်နံပါတ်,,
CLOSE,닫기,Close,Close,,
ROOMLIST_MAKEROOM,방 만들기,Create Room,အခန်းထောင်ရန်,,
FACEBOOK_LOGIN,로그인,Login,အကောင့်၀င်ခြင်း,,
FACEBOOK_LOGIN_CANCEL,취소,Cancel,ပယ်ဖျက်မယ်,,
SETNICK_ERR,닉네임에 비속어 또는 부적절한 단어가 포함되어 있습니다.,,NIckname တွင် ကြမ်းတမ်းသောစကား (သို့) မသင့်တော်တဲ့စကားများ ပါရှိနေပါတယ်။,,
REPLY_MSG,답장하기,Reply,စာပြန်ရန်,,
T_MANGO_GOLD,당신의 캐쉬를 사용해 선택된 골드를 구매하시겠습니까?,Do you want to buy the selected Gold using your Cash?,သင့်ရဲ့ Cash ကို အသုံးပြုပြီး ရွေးချယ်ထားတဲ့ Gold ကို ဝယ်မှာလား?,,
T_MANGO_WEB,캐쉬를 충전해주세요.,Please Charge Cash,Cash ဖြည့်ပါ,,
B_MANGO_GOLD,동의함,Agreed,သဘောတူတယ်,,
B_MANGO_WEB,캐쉬 충전,Charge Cash,Cash ဖြည့်ပါ,,
SETNICKNAMEGUIDE,영문과 숫자만 입력 가능합니다.<br> 최소 6~12 자 까지 입력 가능합니다.<br>공백은 입력할 수 없습니다,"- Nickname must consist of 6-12 characters including\nspecial characters"""" but spaces are not allowed.\n- Nickname can only be set once.",Nickname ပေးတဲ့အခါ အင်္ဂလိပ် အက္ခရာ နဲ့ နံပါတ်စဥ် ပါဝင်ရပါမယ်။<br> အနည်းဆုံး ၆ လုံးမှ အများဆုံး ၁၂ လုံးထိ ရှိရပါမယ်။<br> spaceခြားလို့မရပါ။ နာမည်တစ်ဆက်ထဲဖြစ်ရပါမယ်။,,
T_GIFTHISTORY,선물 기록,Gifts History,လက်ဆောင်စာရင်း,ประวัติส่งโกลด์,
T_GIFTHISTORYUSER,받은사람,Receiver,Nickname,,
T_GIFTHISTORYGOLD,보낸금액,Amount,Gold,,
T_GIFTHISTORYDAY,날짜,Transaction Time,Date,,
T_GIFTHISTORY_DAY,T_GIFTHISTORY_DAY,T_GIFTHISTORY_DAY,T_GIFTHISTORY_DAY,วันที่,
T_GIFTHISTORY_NICK,T_GIFTHISTORY_NICK,T_GIFTHISTORY_NICK,T_GIFTHISTORY_NICK,ผู้รับ,
T_GIFTHISTORY_GOLD,T_GIFTHISTORY_GOLD,T_GIFTHISTORY_GOLD,T_GIFTHISTORY_GOLD,จำนวนโกลด์,
SETBOXPASS_SUCCESS,비밀번호 설정 완료,Password of the safe has been set.,ပက်စ်၀က် ပြုလုပ်ခြင်း အောင်မြင်သည်,ตั้งรหัสผ่านเรียบร้อยแล้วค่ะ,
T_SET_SAFEBOX_PASSWORD_GUIDE,비밀번호는 4자리로 입력해야 합니다<br>(숫자만 입력 가능),Password should be 4 alphanumeric digits\n(no special characters).,လျှိုဝှက်နံပါတ်က အနည်းဆုံး ၄ လုံး ရှိရပါမယ်။<br>(ဂဏန်းပဲ ရေးရမှာဖြစ်ပါတယ်),,
NON_BIGPHOTO,큰 사진 이용 불가,Larger image  is not available.,,,Foto lebih besar tidak tersedia.
T_WELCOME_TITLE,환영 제목,Welcome Aboard.,ကြိုဆိုပါတယ်,,
T_WELCOME_PHRASE,환영 내용,Hello @nick\nWe are giving you @Gold as a joining gift.\nWelcome to MingPlay,မင်္ဂလာပါ @nickname ကို အဖွဲ့ဝင်လက်ဆောင်အဖြစ် @Gold Gold ကို ပေးပို့ထားပါတယ်။ ကြိုဆိုပါတယ်...,,
T_TYPE,타입,Type,Type,,
GAME_CLOSE,게임이 현재 이용 불가 상태입니다.,The game isunavailable,ယခု လတ်တလောအချိန်အတွင်း ဂိမ်းကစား၍မရသေးပါ။,,
LANGUAGE_,언어,Language,ဘာသာစကား,,
LANGUAGE_ENG,영어,ENGLISH,အင်္ဂလိပ်,,
LANGUAGE_MYA,미얀마어,MYANMAR,မြန်မာ,,
T_ONE_PERSON,1명,,၁ဦး,,
T_TWO_PERSON,2명,,၂ဦး,,
T_THREE_PERSON,3명,,၃ဦး,,
T_FOUR_PERSON,4명,,၄ဦး,,
T_FIVE_PERSON,5명,,၅ဦး,,
T_SIX_PERSON,6명,,၆ဦး,,
T_SEVEN_PERSON,7명,,၇ဦး,,
T_EIGHT_PERSON,8명,,၈ဦး,,
T_NINE_PERSON,9명,,၉ဦး,,
T_NEED_GOLD,@money골드가 필요합니다.,,@money Gold လိုအပ်ပါတယ်။,,
T_QUESTIOn_CONFIRMROOM,@anti 방에 입장 하시겠습니까?,,@anti ဂိမ်း အခန်းထဲ ဝင်မှာလား။,,
T_QUESTION_MAKEROOM,@anti 게임방을 만드시겠습니까?,,@anti ဂိမ်း အခန်း တည်ဆောက်မှာလား။,,
T_ENTRANCE,입장,,ဝင်မယ်,,
T_CANCEL_2,취소,,မဝင်ဘူး,,
M_FACEBOOK_LINK_QUESTION,연동하시겠습니까?,,အကောင့် နဲ့ ‌ချိတ်မှာလား?,,
M_FACEBOOK_LINK_GUIDE_1,현재 게스트 계정으로 게임 플레이 중입니다.,,Guest အဖြစ် ဂိမ်းကစား‌နေပါတယ်။,,
M_FACEBOOK_LINK_GUIDE_2,게임 데이터 보존을 위해 계정 연동을 해주세요.,,ဂိမ်း ‌‌‌ဒေတာ‌‌‌ကြောင့် အောက်ဖော်ပြပါ မိမိနှစ်သက်ရာ အကောင့်နှင့် ချိတ်ပါ။,,
M_FACEBOOK_LINK_GUIDE_3,계정 연동시 로그아웃후 재 로그인을 하게 됩니다.,,ချိတ်ဆက်ထားတဲ့အကောင့် ‌လော့အောက်လုပ်ပြီး ‌လော့အင် ပြန်ဝင်ပါ။,,
M_FACEBOOK_LINK_FAIL,통합을 실패 했습니다. 이미 사용중인 계정입니다.,,ချိတ်ဆက်တာ မအောင်မြင်ပါ။ အသုံးပြုပြီးသား အကောင့်ဖြစ်ပါတယ်။,,
M_FACEBOOK_LINK_SUCCESS,통합을 완료 하였습니다.,,ချိတ်ဆက်လို့ ပြီးပါပြီ။,,
T_SENDGOLD,보낸골드,,ပို့မည့် Gold,,
T_LOGIN_GUEST_TITLE,게스트플레이를 시작합니다.,,ဧည့်သည်အဖြစ်ကစားမယ်,,
T_LOGIN_GUEST_CONTENT,게스트 계정은 핸드폰 변경 및 설치 시 계정 정보가 초기화 될 수 있습니다.<br>게스트 계정 초기화에 관련한 도움을 드릴수가 없습니다.<br>안전한 계정 관리를 위하여 아래 계정을 통한 플레이를 권장 합니다.,,ဧည့်သည်အဖြစ် ကစားမယ်ဆိုလျှင် ဂိမ်းအချက်အလက်များအတွက်<br>အကူအညီပေး၍မရပါ။အချက်အလက်များအတွက်စိတ်ချရအောင် <br>အကောင့် ဖြင့် လော့အင် ဝင်ပြီး ကစားနိုင်ပါတယ်။,,
T_REQUIRE_LV_VIP,레벨 (등급조건), ,အဆင့်,เงื่อนไข,
T_GET_GRADEUP_GOLD,즉시지급,,ရမည့် Gold,รับทันที,
T_GET_LEVELUP_GOLD,매 레벨업 시,,အဆင့်တက် Gold,ทุกครั้งที่เลเวลอัพ,
T_GET_FREE_GOLD,무료 충전 금액,,အခမဲ့ Gold ပမာဏ,วงล้อโกลด์ฟรี,
T_SAFEBOX_USE,금고 이용,,မီးခံသေတ္တာ ,บริการตู้เซฟ,
T_PROFILE_VIP_DECORATION,액자 효과,,ဓါတ်ပုံဘောင်,กรอบแสดงลำดับ,
T_VIP_MAX,최대,,,สูงสุด,
T_FREEGOLD_SELECT,하나를 선택하세요,,တစ်ခုကို ရွေးချယ်ပါ,กรุณาเลือก 1 อย่างค่ะ,
T_TITLE_GUIDE,안내 문구,Guide,ကစားနည်း,คู่มือ,
TW_PLAYFILTER_ANTE,엔티,Ante,စထိုးငွေ,เดิมพัน,
SIGNUP_PWRE,비밀번호 확인,Confirm password,ပက်စ်၀က်အတည်ပြုခြင်း,,
T_OPTION_SHOW_ONLY_WIFI,Wifi 환경에서만 플레이어 사진 보기,,Wifi ဖြင့် ပလေယာဓာတ်ပုံကြည့်ရန်,,
T_COMMON_TIMEBOUNS_GUIDE,조금만 기다리면 골드를 받을 수 있어요.,,ခနနေရင် Gold လက်ခံရနိင်ပါတယ်,,
T_MAIN_TUTORIAL,도움말,Tutorial,ကစားနည်း,,
T_MAIN_SAFE_FORGOT_PASSWORD,비밀번호 찾기,Forgot Password,ပက်စ်၀က်ပြန်ရှာခြင်း,,
T_HIGHLOW_BUTTON_LEVEL_LIMIT,@level레벨 이상이어야 입장 할 수 있습니다.(다이사이 입장할때 제한 메세지),(develope)Need Lv@level,@level အဆင့်မှ စ၍ ကစားလို့ရပါပြီ,,
T_ROOMLIST_USER_COUNT,인원 (방만들기 옵션용 짧은 번역),user count,ဦးရေ,,
T_USERINFO_VOICE_MALE,남자음성,male voice,ကျား စကားသံ,,
T_USERINFO_VOICE_FEMALE,여자음성,female voice,မ စကားသံ,,
T_LOBBY_MIN_ANTE,최소 보유금,min,ရှိုးပြငွေ,น้อยสุด,
T_LOGIN_REQUIRE_GUIDE,이 게임은 실제 현금 도박을 지원하지 않습니다. (구글 요청 문구),This games do not offer real money gambling or an opportunity to win real money,This games do not offer real money gambling or an opportunity to win real money,This games do not offer real money gambling or an opportunity to win real money,
T_ASSETBUNDLE_QUESTION,추가 리소스 다운로드 {0} MB는 인터넷 비용을 줄이기 위해 Wi-Fi를 연결하는 것이 좋습니다.(T_LOGIN_ASSETBUNDLE_START이랑 용도는 같으나 이 문구는 태국에서 사용됨),,,ดาวน์โหลดทรัพยากรเพิ่มเติม {0} MB<br> แนะนำให้เชื่อมต่อ Wi-Fi<br> เพื่อลดค่าใช้จ่ายอินเตอร์เน็ต,
T_LOGIN_ASSETBUNDLE_START,게임 플레이를 위하여 다운로드를 시작합니다.,,ဂိမ်းကစားရန် Downloadလုပ်ပါမည်။,,
T_MAIN_VOICE_GUIDE,음성 설정은 내 정보에서 언제든 변경 가능합니다.,,ကျား/မ အသံရွှေးချယ်ခြင်းကို အချိန်မ‌ရွှေးပြောင်းလဲနိင်ပါသည်။,,
T_MAIN_NICK_SET_GUIDE,"닉네임은 영문, 태국어, 숫자로 6~12글자만 입력 가능합니다",,Nickname တွင်  အင်္ဂလိပ်အက္ခ၇ာ နှင့် ဂဏန်းပေါင်းပြီး ၆-၁၂ လုံးထိ ပဲ ရေးလို့ရပါတယ်,ความยาวชื่อเล่น 6-12 ตัว เฉพาะตัวหนังสือภาษาอังกฤษ ภาษาไทย และตัวเลข เท่านั้น,
T_HL_BETWAITMSG,상대편의 배팅 골드가 부족하여 대기중입니다.,,တဘက်မှ Gold နည်းနေတဲ့အတွက် လောင်းရန်စောင့်နေဆဲ,เนื่องจากโกลด์อีกฝั่งมีจำนวนน้อยกว่า,
T_MAIN_GOLDGUIDE_TITLE,골드가 필요하신가요? (골드추천 팝업 타이틀),,Gold လိုအပ်ပါသလား?,,
MACROCHAT_01,안녕하세요:),,အားလုံးမင်္ဂလာပါနော် :),ดีจ้า,
MACROCHAT_02,감사합니다!,,ကျေးဇူးတင်ပါတယ်!,เทหมดหน้าตักมาเลย,
MACROCHAT_03,죄송합니다 (미안합니다),,တောင်းပန်ပါတယ်!,สุดยอด,
MACROCHAT_04,좋았어!,,ကောင်းလိုက်တာ!,ไพ่ไม่ดีเลย,
MACROCHAT_05,즐거웠어요,,ပျော်နေပါပြီနော်,ขอเงินหน่อย,
MACROCHAT_06,이만 가볼게요,,အခုတော့ သွားလိုက်ပါအုန်းမယ်,ไม่ใช่เล่นนะเนี่ย,
MACROCHAT_07,,,,,
MACROCHAT_08,,,,,
MACROCHAT_09,,,,,
MACROCHAT_10,,,,,
MACROCHAT_NONE,입력해 주세요 (퀵채팅 빈칸 내용),Please enter the messages,စာတိုများရေးထားနိင်သည်။,กรุณาพิมพ์ข้อความค่ะ,
T_MACROCHAT01,,Hello,,,Halo
T_MACROCHAT02,,Nice to meet you,,,Senang berkenalan dengan Kamu
T_MACROCHAT03,,Thanks,,,Terima Kasih
T_MACROCHAT04,,Wow!,,,Wah!
T_MACROCHAT05,,Bye,,,Bye
T_MACROCHAT06,,Please enter your message.,,,Silahkan masukkan pesan kamu
T_LOBBY_DO_NOT_SHOW_AGAGIN,다시보지 않기,Do not show again,နောက်တခါမကြည့်ပါ။,,
T_MAIN_FACEBOOK_PROHIBITION_GUIDE,게스트 계정이라서 이용할 수 없는 기능 입니다.(게스트 제한 기능 클릭 시 스크롤 메시지),,Guest အကောင့်ဖြစ်နေသောကြောင့် လက်ရှိအရာကို အသုံးပြုလို့မရနိုင်ပါ။,,
T_MAIN_RECEIVE_GOLD_REWARD,~를 받았습니다.,,ကို လက်ခံရရှိပါသည်။,ได้รับ,
T_VIP_COMPLETE_MSG,@Level  레벨 이 되었습니다. (VIP상품 구매 완료 팝업),,@Level အဆင့်ကို ရောက်ရှိသွားပါပြီ။,,
T_VIP_GOLDSEND,골드선물하기 (VIP팝업 레벨 혜택 설명),,Gold လက်ဆောင်,,
T_SHOP_ERRORMSG,네트워크 문제로 결제 상품 도착이 늦어지고 있습니다<br> 재 시도를 위해 상점을 닫고 다시 열어주세요,,အင်တာနက်မြန်နှုန်းနေးနေပါသဖြင့် ဝယ်ထားသောပစ္စည်းရောက်ရန် နောက်ကျနေပါသည်။ <br>ကျေးဇူးပြု၍ စတိုးဆိုင်ကို ပိတ်ပီးနောက်တကြိမ် ပြန်ဖွင့်ပေးပါ။,เกิดความล่าช้าของข้อมูลการชำระเงิน<br>เนื่องจากปัญหาทางเครือข่าย<br>กรุณาปิด-เปิดหน้าร้านค้าเพื่อลองใหม่อีกครั้งค่ะ,
T_FREEGOLD_RESTRICTION_MSG,지금은 무료충전을 받을 수 없습니다.,,အခု အခမဲ့ Gold ဖြည့်ခြင်းကို လက်ခံမရရှိနိုင်ပါ။,ไม่สามารถรับโกลด์ฟรีได้ในตอนนี้,
T_OPTION_GAMESPEC,게임 사양 ,Game Spec (specifications),ဂိမ်းအထူးပြုလုပ်ချက်,ความละเอียดภาพ,
T_OPTION_LOW,낮음,Low,Low,ต่ำ,
T_OPTION_HIGH,높음,High,High,สูง,
T_EMAIL_FINDGUIDE,이전에 등록한 이메일 주소를 정확히 입력해 주세요,,လက်ရှိသုံးနေသောအီးမေးလ်လိပ်စာ<br>အတိအကျကိုထည့်ပေးပါ,กรุณากรอกชื่อบัญชีอีเมลที่ถูกต้อง รหัสผ่านใหม่จะถูกส่งไปทางอีเมล์ของคุณคะ,
T_FBLOGINFAILED,계정 정보를 불러오지 못했습니다. 페이스북 앱의 로그인 상태를 확인해 주세요,,အကောင့်အချက်လက်များ မကိုက်ညီပါ။ <br>ကျေးဇူးပြုပြီး FB အကောင့်ကို ပြန်စစ်ဆေးပေးပါ။,ไม่สามารถเข้าถึงข้อมูลผู้ใช้งานได้<br>กรุณาตรวจสอบสถานะการเข้าสู่ระบบของเฟซบุ๊คค่ะ,
T_GOOGLE_LOGIN_FAILED,계정 정보를 불러오지 못했습니다. 구글 로그인 상태를 확인해 주세요,,အကောင့်အချက်လက်များ မကိုက်ညီပါ။ <br>ကျေးဇူးပြုပြီး Google အကောင့်ကို ပြန်စစ်ဆေးပေးပါ။,ไม่สามารถเข้าถึงข้อมูลผู้ใช้งานได้ กรุณาตรวจสอบสถานะการเข้าสู่ระบบของ Google ค่ะ,
IAP_START_PENDING_PUR_1,결제 요청 중 입니다. 잠시만 기다려 주세요,,ငွေပေးချေမှု လုပ်ဆောင်နေပါသည်။<br>ခနလေးစောင့်ပေးပါ။,กำลังส่งคำขอชำระเงิน<br>กรุณารอสักครู่ค่ะ,
